,Group,Grad Method,Alpha,Lambda,Fairness,Decision Regret mean,Decision Regret std,Prediction MSE mean,Prediction MSE std,Prediction Fairness mean,Prediction Fairness std,Training Time mean,Training Time std,G0 MSE,G0_mse_std,G1 MSE,G1_mse_std,G0 Fairness,G0_fairness_std,G1 Fairness,G1_fairness_std,G0 Objective,G0_objective_std,G1 Objective,G1_objective_std
20,True,finite-diff,0.5,0.5,mad,0.07280931920637015,0.00022745734281520713,300.2064208984375,1.25177001953125,53.02522277832031,0.2076263427734375,34.184959053993225,0.3900047540664673,287.5652160644531,1.202239990234375,393.61566162109375,1.61749267578125,408.4837646484375,1.331787109375,506.61167907714844,2.5631256103515625,8.882717,0.112947464,47.0734,0.7472191
21,True,finite-diff,2.0,0.0,mad,0.14702035882071854,0.0022125967691128956,296.56134033203125,2.6815185546875,60.54008483886719,0.024505615234375,100.36630022525787,1.4406224489212036,282.1285858154297,2.6756439208984375,403.20875549316406,2.7246551513671875,397.08538818359375,3.66131591796875,504.7563934326172,3.1024627685546875,7.6114993,0.04826832,9.465384,0.011665821
22,True,finite-diff,2.0,0.05,mad,0.14549705827521725,0.0025865421348817697,301.8743438720703,1.6218109130859375,63.09437561035156,1.617919921875,99.87685143947601,0.8691915273666382,286.8326416015625,1.236114501953125,413.0213928222656,4.471954345703125,403.0371551513672,1.0708770751953125,514.4234313964844,4.569244384765625,7.621003,0.021213055,9.618044,0.026442051
23,True,finite-diff,2.0,0.5,mad,0.1600116666529579,0.0035822031996488035,282.6524200439453,3.9307403564453125,50.87701416015625,2.1584014892578125,99.56195306777954,0.7987203598022461,270.5233612060547,4.4452972412109375,372.2773895263672,0.1284942626953125,382.63002014160156,5.7547454833984375,471.91212463378906,0.0551605224609375,7.624195,0.07191849,9.304567,0.036710262
24,False,closed-form,0.5,0.0,atkinson,0.02634972706437111,0.000432395376265049,249.95501708984375,0.4244384765625,0.6186547577381134,0.00028058886528015137,7.040990352630615,0.06832289695739746,234.04875946044922,0.32544708251953125,367.4905090332031,1.155975341796875,0.6294986605644226,0.0003039240837097168,0.5333043932914734,0.0002148747444152832,16.302757,0.017356873,23.687916,0.02408886
25,False,closed-form,0.5,1.0,atkinson,0.026348717510700226,0.0004315162368584424,249.95423889160156,0.42529296875,0.6186542510986328,0.0002797842025756836,7.014204382896423,0.4114886522293091,234.04718780517578,0.32526397705078125,367.49578857421875,1.164459228515625,0.6294988393783569,0.0003025531768798828,0.5332983136177063,0.00021857023239135742,16.303085,0.017048836,23.686977,0.0250597
26,False,closed-form,0.5,5.0,atkinson,0.026350215077400208,0.0004300195723772049,249.95346069335938,0.4203338623046875,0.6186580657958984,0.00028777122497558594,7.665756344795227,0.028723835945129395,234.04696655273438,0.3202056884765625,367.4906311035156,1.1602783203125,0.6295011341571808,0.0003088414669036865,0.53331258893013,0.0002391040325164795,16.30269,0.01659584,23.689003,0.026971817
27,False,closed-form,2.0,0.0,atkinson,0.07369501888751984,0.0015702210366725922,239.50399017333984,1.5875625610351562,0.6188317239284515,3.4868717193603516e-06,7.037589192390442,0.7258583307266235,225.5353240966797,1.4550628662109375,342.72210693359375,2.566497802734375,0.6298540234565735,1.6987323760986328e-05,0.533652663230896,0.0001811981201171875,6.3658504,0.02406025,8.251209,0.052470207
28,False,closed-form,2.0,1.0,atkinson,0.07372957468032837,0.0015155933797359467,239.4404525756836,1.6178970336914062,0.6185778081417084,0.00017449259757995605,7.055939197540283,0.3692436218261719,225.49121856689453,1.4650192260742188,342.5151062011719,2.747467041015625,0.6296584010124207,0.00014162063598632812,0.533014178276062,0.0003428459167480469,6.3645487,0.02468443,8.254749,0.046262264
29,False,closed-form,2.0,5.0,atkinson,0.07378727197647095,0.0014924891293048859,239.40525817871094,1.5401611328125,0.6184279322624207,0.00017982721328735352,6.958927035331726,0.058458685874938965,225.47957611083984,1.3916702270507812,342.3057861328125,2.637481689453125,0.6295295655727386,0.00015273690223693848,0.5327399969100952,0.0003095865249633789,6.3642173,0.02488041,8.253175,0.045069695
